Région;Pays-1;Années;Population;Granularité
Eastern Mediterranean;Afghanistan;2000;20779,953;Total
Eastern Mediterranean;Afghanistan;2000;10689,508;Male
Eastern Mediterranean;Afghanistan;2000;10090,449;Female
Eastern Mediterranean;Afghanistan;2000;15657,474;Rural
Eastern Mediterranean;Afghanistan;2000;4436,282;Urban
Eastern Mediterranean;Afghanistan;2001;21606,988;Total
Eastern Mediterranean;Afghanistan;2001;11117,754;Male
Eastern Mediterranean;Afghanistan;2001;10489,238;Female
Eastern Mediterranean;Afghanistan;2001;16318,324;Rural
Eastern Mediterranean;Afghanistan;2001;4648,139;Urban
Eastern Mediterranean;Afghanistan;2002;22600,77;Total
Eastern Mediterranean;Afghanistan;2002;11642,106;Male
Eastern Mediterranean;Afghanistan;2002;10958,668;Female
Eastern Mediterranean;Afghanistan;2002;17086,91;Rural
Eastern Mediterranean;Afghanistan;2002;4893,013;Urban
Eastern Mediterranean;Afghanistan;2003;23680,871;Total
Eastern Mediterranean;Afghanistan;2003;12214,634;Male
Eastern Mediterranean;Afghanistan;2003;11466,237;Female
Eastern Mediterranean;Afghanistan;2003;17909,063;Rural
Eastern Mediterranean;Afghanistan;2003;5155,788;Urban
Eastern Mediterranean;Afghanistan;2004;24726,684;Total
Eastern Mediterranean;Afghanistan;2004;12763,726;Male
Eastern Mediterranean;Afghanistan;2004;11962,963;Female
Eastern Mediterranean;Afghanistan;2004;18692,107;Rural
Eastern Mediterranean;Afghanistan;2004;5426,872;Urban
Eastern Mediterranean;Afghanistan;2005;25654,277;Total
Eastern Mediterranean;Afghanistan;2005;13239,684;Male
Eastern Mediterranean;Afghanistan;2005;12414,59;Female
Eastern Mediterranean;Afghanistan;2005;19378,962;Rural
Eastern Mediterranean;Afghanistan;2005;5691,836;Urban
Eastern Mediterranean;Afghanistan;2006;26433,049;Total
Eastern Mediterranean;Afghanistan;2006;13623,896;Male
Eastern Mediterranean;Afghanistan;2006;12809,162;Female
Eastern Mediterranean;Afghanistan;2006;19961,972;Rural
Eastern Mediterranean;Afghanistan;2006;5931,478;Urban
Eastern Mediterranean;Afghanistan;2007;27100,536;Total
Eastern Mediterranean;Afghanistan;2007;13938,97;Male
Eastern Mediterranean;Afghanistan;2007;13161,572;Female
Eastern Mediterranean;Afghanistan;2007;20464,923;Rural
Eastern Mediterranean;Afghanistan;2007;6151,869;Urban
Eastern Mediterranean;Afghanistan;2008;27722,276;Total
Eastern Mediterranean;Afghanistan;2008;14225,725;Male
Eastern Mediterranean;Afghanistan;2008;13496,556;Female
Eastern Mediterranean;Afghanistan;2008;20929,119;Rural
Eastern Mediterranean;Afghanistan;2008;6364,912;Urban
Eastern Mediterranean;Afghanistan;2009;28394,813;Total
Eastern Mediterranean;Afghanistan;2009;14544,055;Male
Eastern Mediterranean;Afghanistan;2009;13850,751;Female
Eastern Mediterranean;Afghanistan;2009;21415,593;Rural
Eastern Mediterranean;Afghanistan;2009;6588,738;Urban
Eastern Mediterranean;Afghanistan;2010;29185,507;Total
Eastern Mediterranean;Afghanistan;2010;14935,756;Male
Eastern Mediterranean;Afghanistan;2010;14249,755;Female
Eastern Mediterranean;Afghanistan;2010;21966,187;Rural
Eastern Mediterranean;Afghanistan;2010;6836,98;Urban
Eastern Mediterranean;Afghanistan;2011;30117,413;Total
Eastern Mediterranean;Afghanistan;2011;15415,361;Male
Eastern Mediterranean;Afghanistan;2011;14702,05;Female
Eastern Mediterranean;Afghanistan;2011;22594,126;Rural
Eastern Mediterranean;Afghanistan;2011;7114,473;Urban
Eastern Mediterranean;Afghanistan;2012;31161,376;Total
Eastern Mediterranean;Afghanistan;2012;15964,874;Male
Eastern Mediterranean;Afghanistan;2012;15196,504;Female
Eastern Mediterranean;Afghanistan;2012;23280,663;Rural
Eastern Mediterranean;Afghanistan;2012;7416,295;Urban
Eastern Mediterranean;Afghanistan;2013;32269,589;Total
Eastern Mediterranean;Afghanistan;2013;16554,278;Male
Eastern Mediterranean;Afghanistan;2013;15715,314;Female
Eastern Mediterranean;Afghanistan;2013;23997,856;Rural
Eastern Mediterranean;Afghanistan;2013;7733,832;Urban
Eastern Mediterranean;Afghanistan;2014;33370,794;Total
Eastern Mediterranean;Afghanistan;2014;17138,803;Male
Eastern Mediterranean;Afghanistan;2014;16232,001;Female
Eastern Mediterranean;Afghanistan;2014;24703,798;Rural
Eastern Mediterranean;Afghanistan;2014;8054,222;Urban
Eastern Mediterranean;Afghanistan;2015;34413,603;Total
Eastern Mediterranean;Afghanistan;2015;17686,166;Male
Eastern Mediterranean;Afghanistan;2015;16727,437;Female
Eastern Mediterranean;Afghanistan;2015;25368,923;Rural
Eastern Mediterranean;Afghanistan;2015;8367,571;Urban
Eastern Mediterranean;Afghanistan;2016;35383,032;Total
Eastern Mediterranean;Afghanistan;2016;18186,994;Male
Eastern Mediterranean;Afghanistan;2016;17196,034;Female
Eastern Mediterranean;Afghanistan;2016;25985,093;Rural
Eastern Mediterranean;Afghanistan;2016;8670,939;Urban
Eastern Mediterranean;Afghanistan;2017;36296,113;Total
Eastern Mediterranean;Afghanistan;2017;18651,985;Male
Eastern Mediterranean;Afghanistan;2017;17644,126;Female
Eastern Mediterranean;Afghanistan;2017;26558,609;Rural
Eastern Mediterranean;Afghanistan;2017;8971,472;Urban
Eastern Mediterranean;Afghanistan;2018;37171,921;Total
Eastern Mediterranean;Afghanistan;2018;19093,043;Male
Eastern Mediterranean;Afghanistan;2018;18078,879;Female
Eastern Mediterranean;Afghanistan;2018;27099,874;Rural
Eastern Mediterranean;Afghanistan;2018;9273,302;Urban
Europe;Albania;2000;3129,243;Total
Europe;Albania;2000;1583,506;Male
Europe;Albania;2000;1545,74;Female
Europe;Albania;2000;1818,833;Rural
Europe;Albania;2000;1303,137;Urban
Europe;Albania;2001;3129,704;Total
Europe;Albania;2001;1586,178;Male
Europe;Albania;2001;1543,523;Female
Europe;Albania;2001;1797,423;Rural
Europe;Albania;2001;1324,985;Urban
Europe;Albania;2002;3126,187;Total
Europe;Albania;2002;1582,936;Male
Europe;Albania;2002;1543,247;Female
Europe;Albania;2002;1762,229;Rural
Europe;Albania;2002;1356,8;Urban
Europe;Albania;2003;3118,023;Total
Europe;Albania;2003;1574,841;Male
Europe;Albania;2003;1543,176;Female
Europe;Albania;2003;1724,344;Rural
Europe;Albania;2003;1386,661;Urban
Europe;Albania;2004;3104,892;Total
Europe;Albania;2004;1563,966;Male
Europe;Albania;2004;1540,927;Female
Europe;Albania;2004;1683,584;Rural
Europe;Albania;2004;1414,163;Urban
Europe;Albania;2005;3086,81;Total
Europe;Albania;2005;1551,975;Male
Europe;Albania;2005;1534,835;Female
Europe;Albania;2005;1640,246;Rural
Europe;Albania;2005;1438,933;Urban
Europe;Albania;2006;3063,021;Total
Europe;Albania;2006;1538,721;Male
Europe;Albania;2006;1524,3;Female
Europe;Albania;2006;1593,892;Rural
Europe;Albania;2006;1460,439;Urban
Europe;Albania;2007;3033,998;Total
Europe;Albania;2007;1523,893;Male
Europe;Albania;2007;1510,1;Female
Europe;Albania;2007;1545,166;Rural
