Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
;AFE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4,04;3,923076923;4,076923077;4,307692308;4,538461538;4,538461538
Afghanistan;AFG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;9;9;9;9;10;10
;AFW;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,409090909;5,409090909;5,590909091;5,681818182;5,863636364;5,863636364;5,863636364
Angola;AGO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Albanie;ALB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;6;6;6;8;8;8
Andorre;AND;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Émirats arabes unis;ARE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;6;6
Argentine;ARG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Arménie;ARM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;6;6;6;6
Samoa américaines;ASM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Antigua-et-Barbuda;ATG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Australie;AUS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;11;11;11;11;11;11;11
Autriche;AUT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
Azerbaïdjan;AZE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;8;12
Burundi;BDI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Belgique;BEL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;8;8
Bénin;BEN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Burkina Faso;BFA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Bangladesh;BGD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Bulgarie;BGR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;8;8;8
Bahreïn;BHR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;3
Bahamas;BHS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Bosnie-Herzégovine;BIH;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Bélarus;BLR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;3;3;3
Belize;BLZ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
Bermudes;BMU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Bolivie;BOL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Brésil;BRA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Barbade;BRB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Brunéi Darussalam;BRN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;5;12;12;12
